-172, -43, 890
-71, -34, 934
-28, -69, 852
0, -43, 951
0, -43, 951
2, 4, 934
57, 3, 912
57, 3, 912
105, 15, 751
177, -44, 991
201, -33, 880
223, -27, 972
223, -27, 972
276, 3, 992
270, 3, 995
287, 39, 1000
287, 39, 1000
264, 35, 986
156, 17, 992
126, -16, 994
142, 5, 994
142, 5, 994
230, 49, 1002
258, 63, 990
281, 27, 994
281, 27, 994
234, 38, 980
231, -15, 929
168, -61, 942
133, -50, 928
133, -50, 928
98, -71, 845
59, -43, 885
90, -25, 940
42, -55, 819
42, -55, 819
11, -54, 970
-77, -15, 983
-101, 15, 932
-169, -14, 899
-169, -14, 899
-224, -14, 932
-269, -2, 946
-339, -5, 980
-362, -17, 1002
-300, -9, 986
-149, -17, 994
-,-,-
12, -12, 996
-1, -8, 987
-1, -8, 987
2, -8, 993
3, -10, 991
3, -10, 991
4, -10, 992
4, -10, 992
