"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0M800","2020-02-12 00:00:00","440.000","0.000","0.000","16.300","0.860","971.000","","0.000","-99.000","-99.000","-99.000","20.900","","15.400",""
"C0A570","2020-02-12 00:00:00","360.000","89.000","1.000","13.700","0.970","980.300","","0.000","-99.000","-99.000","-99.000","20.100","","11.100",""
"C0S790","2020-02-12 00:00:00","236.000","320.000","1.600","17.800","0.770","997.400","","0.000","-99.000","-99.000","-99.000","22.900","","15.600",""
"C0D590","2020-02-12 00:00:00","143.000","124.000","0.900","15.900","0.960","1005.200","","0.000","-99.000","-99.000","-99.000","20.600","","14.300",""
"C0U990","2020-02-12 00:00:00","31.000","258.000","1.700","17.300","0.840","1018.800","","0.000","-99.000","-99.000","-99.000","22.100","","14.500",""
"C0M700","2020-02-12 00:00:00","150.000","71.000","1.200","16.800","0.910","1004.000","","0.000","-99.000","-99.000","-99.000","22.000","","15.400",""
"C0A970","2020-02-12 00:00:00","96.000","183.000","14.000","19.800","0.990","1010.100","","0.000","-99.000","-99.000","-99.000","20.500","","17.200",""
"CM0110","2020-02-12 00:00:00","7.000","308.000","1.100","18.200","0.840","1020.300","","-99.000","-99.000","-99.000","-99.000","19.800","","16.400",""
"C0S940","2020-02-12 00:00:00","150.000","246.000","1.300","19.300","0.720","1005.400","","0.000","-99.000","-99.000","-99.000","23.100","","17.000",""
"C0X250","2020-02-12 00:00:00","33.000","284.000","0.500","18.100","0.920","1017.200","","0.000","-99.000","-99.000","-99.000","21.700","","16.000",""
"C0K520","2020-02-12 00:00:00","10.000","351.000","0.700","17.300","0.920","1018.700","","0.000","-99.000","-99.000","-99.000","20.900","","15.500",""
"C0Z200","2020-02-12 00:00:00","153.000","94.000","0.500","16.200","0.990","1006.500","","0.000","-99.000","-99.000","-99.000","20.900","","12.400",""
"C0V740","2020-02-12 00:00:00","60.000","338.000","1.200","18.500","0.940","1015.300","","0.000","-99.000","-99.000","-99.000","22.700","","17.400",""
"C0G860","2020-02-12 00:00:00","45.000","278.000","1.200","18.300","0.940","1014.600","","0.000","-99.000","-99.000","-99.000","23.300","","15.700",""
"C0F0A0","2020-02-12 00:00:00","3587.000","205.000","4.000","0.600","0.710","665.000","","0.500","13.500","183.000","","4.200","","0.500",""
"C0Z250","2020-02-12 00:00:00","1124.000","229.000","0.400","10.800","0.990","897.400","","0.500","-99.000","-99.000","-99.000","13.500","","7.900",""
"C0K440","2020-02-12 00:00:00","35.000","298.000","1.300","17.200","0.990","1017.000","","0.000","-99.000","-99.000","-99.000","21.200","","15.600",""
"C0T900","2020-02-12 00:00:00","160.000","277.000","0.800","17.300","0.720","1003.200","","0.000","-99.000","-99.000","-99.000","20.900","","14.200",""
"C0F9V0","2020-02-12 00:00:00","525.000","144.000","1.600","16.100","0.920","960.400","","0.000","-99.000","-99.000","-99.000","20.900","","14.400",""
"C0UA20","2020-02-12 00:00:00","2619.000","198.000","5.700","6.700","0.590","-99.000","","0.000","-99.000","-99.000","-99.000","11.200","","5.600",""
"C0C620","2020-02-12 00:00:00","19.000","0.000","0.000","15.300","0.970","1017.500","","0.000","-99.000","-99.000","-99.000","22.300","","14.300",""
"C0I360","2020-02-12 00:00:00","300.000","52.000","2.100","17.800","0.770","985.400","","0.000","-99.000","-99.000","-99.000","21.500","","15.500",""
"C0M810","2020-02-12 00:00:00","1354.000","0.000","0.200","12.900","0.680","871.300","","0.000","-99.000","-99.000","-99.000","14.900","","9.700",""
"C0AC80","2020-02-12 00:00:00","40.000","-99.000","-99.000","-99.000","-99.000","-99.000","","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"CM0140","2020-02-12 00:00:00","26.000","311.000","0.500","20.700","0.620","1020.500","","0.000","-99.000","-99.000","-99.000","22.900","","17.600",""
"C0SA20","2020-02-12 00:00:00","857.000","349.000","1.000","13.700","0.940","926.700","","0.000","-99.000","-99.000","-99.000","15.500","","11.500",""
"C0K490","2020-02-12 00:00:00","91.000","204.000","0.700","17.400","0.900","1010.000","","0.000","-99.000","-99.000","-99.000","22.200","","14.900",""
"C0V820","2020-02-12 00:00:00","441.000","55.000","0.700","15.800","0.930","972.500","","0.000","-99.000","-99.000","-99.000","20.900","","15.800",""
"C0S810","2020-02-12 00:00:00","65.000","327.000","3.400","18.500","0.800","1018.300","","0.000","-99.000","-99.000","-99.000","23.000","","16.700",""
"C0R580","2020-02-12 00:00:00","10.000","340.000","2.000","19.700","0.820","1019.600","","0.000","-99.000","-99.000","-99.000","23.500","","16.000",""
"C0Z330","2020-02-12 00:00:00","488.000","142.000","1.200","14.700","0.890","969.000","","0.000","-99.000","-99.000","-99.000","19.400","","12.500",""
"C0E590","2020-02-12 00:00:00","40.000","0.000","0.100","15.800","0.990","1015.200","","0.000","-99.000","-99.000","-99.000","20.900","","15.000",""
"C0D540","2020-02-12 00:00:00","227.000","0.000","0.000","15.200","0.960","995.300","","0.000","-99.000","-99.000","-99.000","22.000","","13.500",""
"C0K420","2020-02-12 00:00:00","42.000","324.000","2.200","17.000","0.930","1015.900","","0.000","-99.000","-99.000","-99.000","21.500","","15.500",""
"C0Z180","2020-02-12 00:00:00","34.000","217.000","1.100","18.300","0.750","1018.700","","0.000","-99.000","-99.000","-99.000","22.000","","15.500",""
"C0AD10","2020-02-12 00:00:00","27.000","284.000","0.700","16.300","0.980","1017.400","","0.000","-99.000","-99.000","-99.000","20.400","","16.300",""
"C0M720","2020-02-12 00:00:00","225.000","90.000","0.900","17.700","0.780","994.500","","0.000","-99.000","-99.000","-99.000","21.600","","14.900",""
"C0V450","2020-02-12 00:00:00","51.000","3.000","1.200","20.100","0.680","1014.700","","0.000","-99.000","-99.000","-99.000","23.200","","14.800",""
"C0R280","2020-02-12 00:00:00","242.000","59.000","1.900","19.800","0.790","994.300","","0.000","-99.000","-99.000","-99.000","20.800","","16.100",""
"C0E610","2020-02-12 00:00:00","850.000","0.000","0.000","15.100","0.670","925.500","","0.000","-99.000","-99.000","-99.000","18.500","","12.500",""
"C0V610","2020-02-12 00:00:00","22.000","343.000","1.500","18.900","0.870","1018.100","","0.000","-99.000","-99.000","-99.000","22.900","","16.700",""
"C0Z310","2020-02-12 00:00:00","59.000","328.000","0.900","20.200","0.660","1016.300","","0.000","-99.000","-99.000","-99.000","21.600","","16.500",""
"C0S700","2020-02-12 00:00:00","507.000","177.000","1.100","15.300","0.840","966.600","","0.000","-99.000","-99.000","-99.000","19.200","","13.700",""
"C0T9G0","2020-02-12 00:00:00","605.000","232.000","0.600","15.000","1.000","955.900","","0.000","-99.000","-99.000","-99.000","17.300","","12.300",""
"C0U520","2020-02-12 00:00:00","517.000","237.000","1.200","13.300","0.990","965.100","","0.000","-99.000","-99.000","-99.000","19.900","","10.600",""
"C0E750","2020-02-12 00:00:00","62.000","169.000","0.500","17.000","0.900","1014.100","","0.000","-99.000","-99.000","-99.000","21.500","","15.800",""
"C0G660","2020-02-12 00:00:00","27.000","267.000","0.500","17.400","0.950","1019.200","","0.000","-99.000","-99.000","-99.000","22.400","","16.100",""
"C0W140","2020-02-12 00:00:00","21.000","134.000","0.900","14.400","0.890","1019.300","","0.000","-99.000","-99.000","-99.000","17.700","","13.900",""
